"InternalHPID","SignatureHPID","UPRN","Price","PricePerSquareMetre","LandRegistryTransactionDate","SquareMetreSource","IndexedPrice","IndexedPricePerSquareMetre","LandRegistryPropertyType","SquareMetreSourcePropertyType","NewBuildFlag","Tenure","CouncilTaxBand","LocalAuthorityCode","SignatureHPIDCentroid_x","SignatureHPIDCentroid_y",
"c2f71ee8-18ff-9277-da03-952f17aeb337","e1149cbc-c18a-98ca-8239-b0ee2d1e9545","95510797","320000","8888.888888888889","2011-08-12","Epc Domestic","709804.46","19716.79","F","Flat","Y","L","D","E09000001","532388.358","181865.999",
"d0609964-81a3-bb2e-4780-4ffbb2435d57","86462ce8-63a2-4d54-9235-95c689fa01b3","100020000211","219850","3435.15625","1997-12-23","Epc Domestic","1579665.85","24682.28","F","Flat","N","L","F","E09000001","532216.853","181992.42",
"78c216e2-6968-2480-37b5-ad1936297d08","9daa9cd5-83fc-c75d-cb22-e535b47a461b","200000073810","280000","3684.2105263157896","2004-02-20","Epc Domestic","868369.97","11425.92","F","Maisonette","N","L","E","E09000001","532125.47","181906.986",
"6a88d93a-9f08-3f6b-4421-005383a22410","3c51b77a-2d5e-2ec1-c5ce-05e7d0bea855","200000074336","558000","8086.95652173913","2011-08-22","Epc Domestic","1237721.53","17937.99","F","Flat","N","L","E","E09000001","532141.566","181939.821",
"ab244ab4-8244-3cd0-5a9b-7e74b95c763d","86462ce8-63a2-4d54-9235-95c689fa01b3","100022934528","255100","2525.7425742574255","1997-01-10","Epc Domestic","2047754.91","20274.8","F","Flat","Y","L","F","E09000001","532216.853","181992.42",
"22e00a44-917e-4c3f-6d31-b80ed7d9b461","e7b433db-a9e5-fdac-39de-ef9ed993a035","95505811","197000","6354.8387096774195","2003-06-25","Epc Domestic","688443.31","22207.85","F","Flat","Y","L","D","E09000001","531736.249","181561.631",
"4f7ab05a-27a4-bd91-6197-7e356d4d3659","580e7a6a-a44b-3132-064c-1adafb479e36","200000073614","635000","8698.630136986301","2012-04-19","Epc Domestic","1132579.57","15514.79","F","Flat","N","L","E","E09000001","532401.409","181752.192",
"bb763532-79d1-3a6f-ba5e-9f1b82cd1141","562b8c7e-ae42-be07-e288-223eb6c03264","200000069314","490000","9800","2019-04-30","Epc Domestic","620098.48","12401.97","F","Flat","N","L","","E09000001","531829.203","181034.448",
"91efee27-af91-0876-a411-075c5b329164","165ff22e-a89d-7805-e7de-ba08434a04d0","95506774","383500","7101.851851851852","2008-05-01","Epc Domestic","919164.94","17021.57","F","Flat","Y","L","E","E09000001","532184.701","180785.9255",
"62b18fa7-0eaa-5b74-4a5c-a6a908dbb4af","175432dd-dbfc-f5b3-8bfb-c3212844bf2e","200000069546","240000","4285.714285714285","1999-10-22","Epc Domestic","1371664.71","24494.01","F","Flat","N","L","F","E09000001","531774.752","181095.698",
"5a052b25-4724-19dd-57f6-cc06e0743e25","4cfdfc38-3d58-e16c-bd04-9f73c7c052a6","100020001290","200000","3076.923076923077","2000-06-14","Epc Domestic","942893.74","14506.06","F","Flat","Y","L","","E09000001","533012.7093333333","180732.99233333333",
"ab244ab4-8244-3cd0-5a9b-7e74b95c763d","86462ce8-63a2-4d54-9235-95c689fa01b3","100022934528","290000","2871.2871287128714","2000-06-06","Epc Domestic","1367195.93","13536.59","F","Flat","N","L","F","E09000001","532216.853","181992.42",
"ed78526f-8584-1b01-df88-60e558389171","10516257-277d-5867-6379-e18f62ee630e","95500653","475000","9134.615384615385","2013-09-19","Epc Domestic","838872.41","16132.16","F","Flat","N","L","E","E09000001","533516.1655","180875.65899999999",
"24328439-f6b9-27e7-053d-5cec454745ce","89717633-8860-783a-96a4-7e24b93c3cc3","200000074969","138162","5756.75","2002-03-25","Epc Domestic","508625.67","21192.74","F","Flat","N","L","C","E09000001","532059.253","181708.416",
"07cc4ccb-e107-61b6-9951-66e16460f75d","78d0d54a-3ccd-44aa-00d6-f563235314a3","100022933543","550000","8593.75","2011-11-14","Epc Domestic","1073985.3","16781.02","F","Flat","N","L","F","E09000001","533186.246","181454.619",
